Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,thscode,thsname_cn,thsname_en,currency
2024-06-24T04:00:00.000Z,49.0331263458,49.4607129472,48.5497661913,49.4235305786,3638700,0.0,0.0,0.0,TMF,NA,NA,USD
2024-06-25T04:00:00.000Z,49.0720744135,49.803093468,49.0252148594,49.7281188965,3141600,0.435,0.0,0.0,TMF,NA,NA,USD
2024-06-26T04:00:00.000Z,47.7974805726,48.078641508,47.5444346582,47.6100387573,5399300,0.0,0.0,0.0,TMF,NA,NA,USD
2024-06-27T04:00:00.000Z,48.1254966102,48.4347761131,47.9755438869,48.0973815918,3339000,0.0,0.0,0.0,TMF,NA,NA,USD
2024-06-28T04:00:00.000Z,48.4160370771,48.4722706954,45.4263527519,45.4544677734,15599400,0.0,0.0,0.0,TMF,NA,NA,USD
2024-07-01T04:00:00.000Z,43.8424676823,44.7609285498,42.9146363339,43.1208190918,13321900,0.0,0.0,0.0,TMF,NA,NA,USD
2024-07-02T04:00:00.000Z,44.1611217068,44.3298189811,43.2707757759,44.0392875671,7825800,0.0,0.0,0.0,TMF,NA,NA,USD
2024-07-03T04:00:00.000Z,44.8077883871,45.8762018978,44.7046952282,45.8012237549,6721300,0.0,0.0,0.0,TMF,NA,NA,USD
2024-07-05T04:00:00.000Z,46.3448056772,47.0477096958,45.8199693895,46.7852897644,5863600,0.0,0.0,0.0,TMF,NA,NA,USD
2024-07-08T04:00:00.000Z,46.7759213397,47.2257795024,46.2979481591,47.0383377075,3656700,0.0,0.0,0.0,TMF,NA,NA,USD
2024-07-09T04:00:00.000Z,46.6540850179,46.9352495061,45.7356241283,46.4010391235,4879300,0.0,0.0,0.0,TMF,NA,NA,USD
2024-07-10T04:00:00.000Z,46.6259776878,46.925883188,46.2979571643,46.8602790833,3877500,0.0,0.0,0.0,TMF,NA,NA,USD
2024-07-11T04:00:00.000Z,48.4535229856,49.1376825422,48.1348729863,48.2754516602,10265500,0.0,0.0,0.0,TMF,NA,NA,USD
2024-07-12T04:00:00.000Z,48.1254968083,48.7534262978,47.90056951,48.7253112793,4946800,0.0,0.0,0.0,TMF,NA,NA,USD
2024-07-15T04:00:00.000Z,47.3382467076,47.7974789609,46.9727371464,47.113319397,6386600,0.0,0.0,0.0,TMF,NA,NA,USD
2024-07-16T04:00:00.000Z,48.0880143693,49.1189389652,47.8818280201,49.043964386,6161000,0.0,0.0,0.0,TMF,NA,NA,USD
