Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,thscode,thsname_cn,thsname_en,currency
2024-06-24T04:00:00.000Z,36.1696102737,36.5664850521,35.1798718338,35.2190666199,93754600,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-06-25T04:00:00.000Z,35.6649493518,36.4685005873,35.4591626608,36.3950042725,77675000,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-06-26T04:00:00.000Z,36.1997324973,36.7407603688,36.1062846507,36.622718811,72549600,0.1415,0.0,0.0,TQQQ,NA,NA,USD
2024-06-27T04:00:00.000Z,36.5538666631,37.2326104171,36.357128201,36.8883209229,74115400,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-06-28T04:00:00.000Z,37.0309530658,38.1326831063,36.1259577181,36.3079414368,107803000,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-07-01T04:00:00.000Z,36.4751740447,37.0309567369,35.6193622854,36.9030761719,86557400,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-07-02T04:00:00.000Z,36.5391100359,38.0589069778,36.5145163223,38.0343170166,74950200,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-07-03T04:00:00.000Z,37.8474107063,39.0081633497,37.8474107063,38.9688186646,56150400,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-07-05T04:00:00.000Z,39.1360482253,40.2574525551,39.067190328,40.1492462158,79624600,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-07-08T04:00:00.000Z,40.2377726719,40.5623916441,39.9770958471,40.4148368835,73365600,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-07-09T04:00:00.000Z,40.7837194165,41.0640704552,40.1443242196,40.5033683777,72033600,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-07-10T04:00:00.000Z,40.9804542305,41.9051198772,40.6607547841,41.7723236084,77554800,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-07-11T04:00:00.000Z,41.792005638,41.8362698184,38.7081401544,39.0278396606,149329000,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-07-12T04:00:00.000Z,39.1065365435,40.7935624355,39.0032497034,39.6623191833,101019800,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-07-15T04:00:00.000Z,40.0705499877,41.1280158319,39.4606641937,39.9574241638,109900400,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-07-16T04:00:00.000Z,40.301718492,40.5033726805,39.2196589054,39.9869384766,83637600,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-07-17T04:00:00.000Z,38.0343139248,38.1523554853,36.4407359715,36.470249176,142840000,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-07-18T04:00:00.000Z,37.2867119022,37.3408150707,35.1914580703,35.9243049622,131678400,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-07-19T04:00:00.000Z,35.8062664946,36.3817234242,34.6455136479,34.9504547119,118249600,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-07-22T04:00:00.000Z,36.2243323143,36.7063376119,35.4718111592,36.4751739502,112808600,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-07-23T04:00:00.000Z,36.2636792855,36.952258254,35.973489218,36.0816955566,87127000,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-07-24T04:00:00.000Z,34.5422186017,34.6159922271,31.9944655852,32.1912002563,159575200,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-07-25T04:00:00.000Z,32.2453080438,33.1207902142,30.5582839812,31.1189861298,188128000,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-07-26T04:00:00.000Z,31.9698793083,32.6289488652,31.3698286655,32.0092277527,137407000,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-07-29T04:00:00.000Z,32.5945176831,33.0470172573,31.7337902221,32.1961250305,115640800,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-07-30T04:00:00.000Z,32.599437596,32.7519081188,30.1697275791,30.8829021454,143063600,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-07-31T04:00:00.000Z,32.9437307703,33.937254542,32.648621207,33.5831260681,173408400,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-08-01T04:00:00.000Z,33.7306815182,34.5373058347,30.346792357,31.1632537842,210693200,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-08-02T04:00:00.000Z,29.3385102758,29.8647834734,28.0351222622,28.8909320831,209844000,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-08-05T04:00:00.000Z,24.2626796309,27.636729871,24.0020008824,26.3726902008,287924400,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-08-06T04:00:00.000Z,26.6235276357,28.4040031521,26.1366010419,27.0317573547,192909400,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-08-07T04:00:00.000Z,28.315474159,28.7778070922,26.0677460202,26.161195755,182751600,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-08-08T04:00:00.000Z,27.2727646776,28.6991119103,26.5645077401,28.5564785004,152879200,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-08-09T04:00:00.000Z,28.2515299704,29.2794844161,28.0351191994,28.9450302124,125592400,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-08-12T04:00:00.000Z,29.1319342065,29.7073929449,28.5810691813,29.1417713165,108972600,0.0,0.0,0.0,TQQQ,NA,NA,USD
2024-08-13T04:00:00.000Z,29.9828234591,31.3353950758,29.9533140065,31.2616195679,108962800,0.0,0.0,0.0,TQQQ,NA,NA,USD
