Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,thscode,thsname_cn,thsname_en,currency
2024-06-24T04:00:00.000Z,86.3020272749,86.5681304932,86.0175607643,86.5681304932,56939100,0.0,0.0,0.0,TLT,NA,NA,USD
2024-06-25T04:00:00.000Z,86.320374316,86.7608342881,86.2928468804,86.7149505615,22890200,0.0,0.0,0.0,TLT,NA,NA,USD
2024-06-26T04:00:00.000Z,85.5954765778,85.769826382,85.4394830693,85.4761886597,38489100,0.0,0.0,0.0,TLT,NA,NA,USD
2024-06-27T04:00:00.000Z,85.8156967163,85.9900465075,85.7239362476,85.8156967163,23140800,0.0,0.0,0.0,TLT,NA,NA,USD
2024-06-28T04:00:00.000Z,86.0084005135,86.0450990993,84.219039917,84.219039917,55119600,0.0,0.0,0.0,TLT,NA,NA,USD
2024-07-01T04:00:00.000Z,83.2350025352,83.8425606816,82.6826814168,82.7655334473,49735400,0.291,0.0,0.0,TLT,NA,NA,USD
2024-07-02T04:00:00.000Z,83.4743418249,83.594009173,82.9220207226,83.40990448,34204700,0.0,0.0,0.0,TLT,NA,NA,USD
2024-07-03T04:00:00.000Z,83.9253899118,84.5881779385,83.851745237,84.5053329468,35563300,0.0,0.0,0.0,TLT,NA,NA,USD
2024-07-05T04:00:00.000Z,84.9379612866,85.3614145637,84.5973670297,85.2049179077,34895500,0.0,0.0,0.0,TLT,NA,NA,USD
2024-07-08T04:00:00.000Z,85.1865263766,85.4718907049,84.8919547084,85.3890457153,16095700,0.0,0.0,0.0,TLT,NA,NA,USD
2024-07-09T04:00:00.000Z,85.1221018525,85.3154138804,84.5697807695,85.0116348267,30289800,0.0,0.0,0.0,TLT,NA,NA,USD
2024-07-10T04:00:00.000Z,85.1036677539,85.3153944161,84.9287704484,85.2785720825,23572500,0.0,0.0,0.0,TLT,NA,NA,USD
2024-07-11T04:00:00.000Z,86.2359379587,86.6593842907,86.0426259608,86.1070632935,49761800,0.0,0.0,0.0,TLT,NA,NA,USD
2024-07-12T04:00:00.000Z,86.0978722699,86.4752960205,85.9229678955,86.4752960205,27796500,0.0,0.0,0.0,TLT,NA,NA,USD
2024-07-15T04:00:00.000Z,85.6099690207,85.8861330203,85.4074496907,85.4810943604,37918900,0.0,0.0,0.0,TLT,NA,NA,USD
2024-07-16T04:00:00.000Z,86.0978531457,86.723818795,85.9689784847,86.68699646,36383700,0.0,0.0,0.0,TLT,NA,NA,USD
2024-07-17T04:00:00.000Z,86.4568495899,86.8987105231,86.2451299731,86.7053985596,29036800,0.0,0.0,0.0,TLT,NA,NA,USD
2024-07-18T04:00:00.000Z,86.2359450705,86.6593914374,85.9597810375,86.0426330566,34553100,0.0,0.0,0.0,TLT,NA,NA,USD
2024-07-19T04:00:00.000Z,85.6467905508,85.7572575543,85.4442712227,85.5363235474,32164700,0.0,0.0,0.0,TLT,NA,NA,USD
2024-07-22T04:00:00.000Z,85.9781914158,86.088651405,84.9656017175,85.2877883911,36160400,0.0,0.0,0.0,TLT,NA,NA,USD
2024-07-23T04:00:00.000Z,85.4350627332,85.6375820585,85.1404910844,85.1681060791,23498000,0.0,0.0,0.0,TLT,NA,NA,USD
2024-07-24T04:00:00.000Z,85.2325562392,85.4718979345,84.2015588249,84.2475814819,50757100,0.0,0.0,0.0,TLT,NA,NA,USD
2024-07-25T04:00:00.000Z,84.7170460384,85.4810936779,84.6526087087,84.9379730225,44999100,0.0,0.0,0.0,TLT,NA,NA,USD
2024-07-26T04:00:00.000Z,85.563946705,85.748058395,85.3430197001,85.600769043,34423800,0.0,0.0,0.0,TLT,NA,NA,USD
2024-07-29T04:00:00.000Z,86.2267321607,86.2451468407,85.8124931611,86.0610351562,25801300,0.0,0.0,0.0,TLT,NA,NA,USD
2024-07-30T04:00:00.000Z,86.300365589,86.5765295682,85.8861266435,86.3924179077,28169800,0.0,0.0,0.0,TLT,NA,NA,USD
2024-07-31T04:00:00.000Z,87.018381381,87.3037456689,86.7514247472,87.2761306763,47445300,0.0,0.0,0.0,TLT,NA,NA,USD
2024-08-01T04:00:00.000Z,87.8718659444,88.583046443,87.8533969266,88.0288772583,77254200,0.315,0.0,0.0,TLT,NA,NA,USD
2024-08-02T04:00:00.000Z,89.589788535,90.8551313841,89.4881913039,90.7720031738,91912900,0.0,0.0,0.0,TLT,NA,NA,USD
2024-08-05T04:00:00.000Z,92.0742669211,92.3051683772,90.4210116492,91.2522583008,90686300,0.0,0.0,0.0,TLT,NA,NA,USD
2024-08-06T04:00:00.000Z,90.6519278295,90.892067356,89.2110977173,89.2110977173,61316900,0.0,0.0,0.0,TLT,NA,NA,USD
2024-08-07T04:00:00.000Z,88.6199839948,89.0817869485,88.2043641551,88.5830459595,51337100,0.0,0.0,0.0,TLT,NA,NA,USD
2024-08-08T04:00:00.000Z,87.8534133155,88.1120218918,87.5947976927,88.0381317139,37815800,0.0,0.0,0.0,TLT,NA,NA,USD
2024-08-09T04:00:00.000Z,89.1372125235,89.1649195746,88.7492926677,88.9063110352,32141800,0.0,0.0,0.0,TLT,NA,NA,USD
2024-08-12T04:00:00.000Z,88.6938753568,89.423524879,88.5553330595,89.2295684814,24261400,0.0,0.0,0.0,TLT,NA,NA,USD
2024-08-13T04:00:00.000Z,89.8668647376,89.9222788415,89.5713111056,89.8483886719,30366900,0.0,0.0,0.0,TLT,NA,NA,USD
2024-08-14T04:00:00.000Z,90.0977662892,90.6611665014,90.0608212043,90.4117889404,31334100,0.0,0.0,0.0,TLT,NA,NA,USD
2024-08-15T04:00:00.000Z,89.0448532204,89.6821365356,88.860127802,89.6821365356,38723700,0.0,0.0,0.0,TLT,NA,NA,USD
2024-08-16T04:00:00.000Z,89.9961700439,90.0885292338,89.5990191858,89.9961700439,28541000,0.0,0.0,0.0,TLT,NA,NA,USD
2024-08-19T04:00:00.000Z,89.9776930018,90.6611665014,89.9684620155,90.4117889404,25322100,0.0,0.0,0.0,TLT,NA,NA,USD
2024-08-20T04:00:00.000Z,90.8089414584,91.307689543,90.6242230774,91.1322021484,25239300,0.0,0.0,0.0,TLT,NA,NA,USD
2024-08-21T04:00:00.000Z,91.1321932948,91.6217032988,90.7073354225,91.1876144409,29230000,0.0,0.0,0.0,TLT,NA,NA,USD
2024-08-22T04:00:00.000Z,90.7258122729,90.7904644052,89.9869247211,90.2824783325,33453800,0.0,0.0,0.0,TLT,NA,NA,USD
2024-08-23T04:00:00.000Z,90.6888930329,91.132220053,90.4764605111,90.8736114502,32005100,0.0,0.0,0.0,TLT,NA,NA,USD
2024-08-26T04:00:00.000Z,91.1506786862,91.1599096727,90.5872784606,90.6426925659,23198700,0.0,0.0,0.0,TLT,NA,NA,USD
2024-08-27T04:00:00.000Z,90.0423380604,90.5872692107,89.9684549431,90.4856719971,21507700,0.0,0.0,0.0,TLT,NA,NA,USD
2024-08-28T04:00:00.000Z,90.5226201154,90.6981004523,90.2640115798,90.3748397827,18501400,0.0,0.0,0.0,TLT,NA,NA,USD
2024-08-29T04:00:00.000Z,89.9315190012,90.1808895214,89.709848487,90.0792922974,24988200,0.0,0.0,0.0,TLT,NA,NA,USD
2024-08-30T04:00:00.000Z,90.2178218805,90.504137446,89.1002596207,89.1187286377,42896200,0.0,0.0,0.0,TLT,NA,NA,USD
2024-09-03T04:00:00.000Z,90.4002354596,90.8635413109,90.2705103867,90.5762939453,48947900,0.313,0.0,0.0,TLT,NA,NA,USD
2024-09-04T04:00:00.000Z,90.6967596004,91.7623645745,90.6318970578,91.7438354492,40885200,0.0,0.0,0.0,TLT,NA,NA,USD
2024-09-05T04:00:00.000Z,92.0496096423,92.3646613195,91.5307093144,92.2627334595,47450900,0.0,0.0,0.0,TLT,NA,NA,USD
2024-09-06T04:00:00.000Z,92.2442027176,93.3839312134,91.9106219214,92.2534637451,57406400,0.0,0.0,0.0,TLT,NA,NA,USD
2024-09-09T04:00:00.000Z,92.1052037394,92.753829097,91.8828189124,92.6519012451,26961400,0.0,0.0,0.0,TLT,NA,NA,USD
2024-09-10T04:00:00.000Z,92.540700641,93.5043775284,92.4943672344,93.3005218506,31703400,0.0,0.0,0.0,TLT,NA,NA,USD
2024-09-11T04:00:00.000Z,93.1152063354,93.8101650998,92.9854812649,93.2264022827,39497100,0.0,0.0,0.0,TLT,NA,NA,USD
2024-09-12T04:00:00.000Z,92.9947645488,93.1708230601,92.3739363145,92.7909088135,41618700,0.0,0.0,0.0,TLT,NA,NA,USD
2024-09-13T04:00:00.000Z,93.0874258993,93.2264190911,92.6797144218,93.0410995483,25722100,0.0,0.0,0.0,TLT,NA,NA,USD
2024-09-16T04:00:00.000Z,93.2449450589,93.9306428969,93.0410963965,93.8935775757,30866300,0.0,0.0,0.0,TLT,NA,NA,USD
2024-09-17T04:00:00.000Z,94.0232763394,94.1807986083,93.3468467884,93.4395065308,31699400,0.0,0.0,0.0,TLT,NA,NA,USD
2024-09-18T04:00:00.000Z,92.8835643394,93.3376092089,92.2349389107,92.2812652588,48897000,0.0,0.0,0.0,TLT,NA,NA,USD
2024-09-19T04:00:00.000Z,91.660442679,92.0218207357,91.5214494874,91.9754943848,39979800,0.0,0.0,0.0,TLT,NA,NA,USD
2024-09-20T04:00:00.000Z,91.7253028055,91.9662238601,91.4751207227,91.623374939,37067600,0.0,0.0,0.0,TLT,NA,NA,USD
2024-09-23T04:00:00.000Z,91.2712496851,91.8179471782,90.826472972,91.4287719727,35703900,0.0,0.0,0.0,TLT,NA,NA,USD
2024-09-24T04:00:00.000Z,90.8079715068,91.6326555805,90.6689782998,91.4102706909,31005400,0.0,0.0,0.0,TLT,NA,NA,USD
2024-09-25T04:00:00.000Z,91.0488721054,91.1044665479,90.6133634538,90.650428772,36738200,0.0,0.0,0.0,TLT,NA,NA,USD
2024-09-26T04:00:00.000Z,90.8728087458,91.0395991339,90.2705097295,90.8635406494,33332300,0.0,0.0,0.0,TLT,NA,NA,USD
2024-09-27T04:00:00.000Z,91.3083233839,91.5121791015,91.0025398074,91.3361206055,28317600,0.0,0.0,0.0,TLT,NA,NA,USD
2024-09-30T04:00:00.000Z,91.400998417,91.465860968,90.6967713845,90.9006271362,34175500,0.0,0.0,0.0,TLT,NA,NA,USD
2024-10-01T04:00:00.000Z,91.8450903829,92.3377805072,91.4639484573,91.5569076538,45254200,0.316,0.0,0.0,TLT,NA,NA,USD
2024-10-02T04:00:00.000Z,90.5064698875,90.8504267715,90.2275851607,90.7853546143,35810800,0.0,0.0,0.0,TLT,NA,NA,USD
2024-10-03T04:00:00.000Z,90.4878694512,90.6459079047,89.9301071167,89.9301071167,39677800,0.0,0.0,0.0,TLT,NA,NA,USD
2024-10-04T04:00:00.000Z,88.7216257983,89.2050179441,88.6844406959,88.8238830566,56954100,0.0,0.0,0.0,TLT,NA,NA,USD
2024-10-07T04:00:00.000Z,88.2939986207,88.5635781733,88.0894841251,88.1545562744,42606600,0.0,0.0,0.0,TLT,NA,NA,USD
2024-10-08T04:00:00.000Z,87.7455365981,88.3404840526,87.699053447,88.3032989502,33709600,0.0,0.0,0.0,TLT,NA,NA,USD
2024-10-09T04:00:00.000Z,88.0058068941,88.2289174624,87.5967850371,87.8012924194,35807700,0.0,0.0,0.0,TLT,NA,NA,USD
2024-10-10T04:00:00.000Z,87.2714566447,87.4666731608,86.8345475423,87.4573822021,53667400,0.0,0.0,0.0,TLT,NA,NA,USD
2024-10-11T04:00:00.000Z,86.8995880588,87.4480522958,86.8438068657,87.104095459,27406400,0.0,0.0,0.0,TLT,NA,NA,USD
2024-10-14T04:00:00.000Z,86.4905504694,87.1784569822,86.4347763741,87.1691589355,28795300,0.0,0.0,0.0,TLT,NA,NA,USD
2024-10-15T04:00:00.000Z,87.8105929748,88.3125811291,87.7269318286,88.2289199829,46429100,0.0,0.0,0.0,TLT,NA,NA,USD
2024-10-16T04:00:00.000Z,88.6751239732,88.8889364936,88.4427224517,88.6007537842,32281500,0.0,0.0,0.0,TLT,NA,NA,USD
2024-10-17T04:00:00.000Z,87.6525646586,87.7920069994,87.0762062929,87.1970596313,43427200,0.0,0.0,0.0,TLT,NA,NA,USD
2024-10-18T04:00:00.000Z,87.4294677699,87.6432732286,87.2528403187,87.2621383667,25258600,0.0,0.0,0.0,TLT,NA,NA,USD
2024-10-21T04:00:00.000Z,86.4719619716,86.5370341192,85.7375793457,85.7375793457,49504700,0.0,0.0,0.0,TLT,NA,NA,USD
2024-10-22T04:00:00.000Z,86.1280073747,86.230264614,85.6074231311,85.8212356567,32096900,0.0,0.0,0.0,TLT,NA,NA,USD
2024-10-23T04:00:00.000Z,85.3750393587,85.8677366562,85.207717033,85.5888519287,33354200,0.0,0.0,0.0,TLT,NA,NA,USD
2024-10-24T04:00:00.000Z,85.7375752993,86.4533688889,85.486577676,86.1373062134,32507400,0.0,0.0,0.0,TLT,NA,NA,USD
2024-10-25T04:00:00.000Z,86.4440792633,86.4905624106,85.5423601071,85.6539154053,28667100,0.0,0.0,0.0,TLT,NA,NA,USD
2024-10-28T04:00:00.000Z,85.7747565738,85.7933526685,84.9845927626,85.4215087891,33156500,0.0,0.0,0.0,TLT,NA,NA,USD
2024-10-29T04:00:00.000Z,84.7522118362,85.5795609457,84.575591447,85.5516738892,46545200,0.0,0.0,0.0,TLT,NA,NA,USD
2024-10-30T04:00:00.000Z,86.3046622273,86.7229893989,85.6725366294,85.8026809692,41951100,0.0,0.0,0.0,TLT,NA,NA,USD
2024-10-31T04:00:00.000Z,85.7096837299,86.3975973836,85.4029190922,85.9420852661,52173800,0.0,0.0,0.0,TLT,NA,NA,USD
2024-11-01T04:00:00.000Z,86.0549630024,86.2974713174,84.6931576231,84.7304611206,80402000,0.311,0.0,0.0,TLT,NA,NA,USD
2024-11-04T05:00:00.000Z,86.0736202211,86.3441168509,85.4673351624,86.0456390381,49747600,0.0,0.0,0.0,TLT,NA,NA,USD
2024-11-05T05:00:00.000Z,85.8404002372,86.6518898054,85.4393201677,86.5026473999,46986000,0.0,0.0,0.0,TLT,NA,NA,USD
2024-11-06T05:00:00.000Z,83.611172407,84.6185376448,83.527228862,84.1335067749,98895700,0.0,0.0,0.0,TLT,NA,NA,USD
2024-11-07T05:00:00.000Z,84.6464916815,85.4579812711,84.5532187338,85.1874847412,56221400,0.0,0.0,0.0,TLT,NA,NA,USD
2024-11-08T05:00:00.000Z,85.8124429332,86.3720878769,85.6632004862,86.2694854736,56756200,0.0,0.0,0.0,TLT,NA,NA,USD
2024-11-11T05:00:00.000Z,86.0456373566,86.0922774049,85.4580111755,85.8497619629,22369200,0.0,0.0,0.0,TLT,NA,NA,USD
2024-11-12T05:00:00.000Z,85.2248313835,85.6725445685,84.4226708844,84.5625839233,57908400,0.0,0.0,0.0,TLT,NA,NA,USD
2024-11-13T05:00:00.000Z,85.3647200518,85.3833789152,83.685785273,83.7604064941,49009100,0.0,0.0,0.0,TLT,NA,NA,USD
2024-11-14T05:00:00.000Z,84.4692788897,84.907669628,84.1987823253,84.2454223633,53328300,0.0,0.0,0.0,TLT,NA,NA,USD
